DATE,EXINUS
2012-07-01,55.4248
2012-08-01,55.4935
2012-09-01,54.3500
2012-10-01,53.0995
2012-11-01,54.7845
2012-12-01,54.6470
2013-01-01,54.2290
2013-02-01,53.8079
2013-03-01,54.4229
2013-04-01,54.3236
2013-05-01,54.9845
2013-06-01,58.3835
2013-07-01,59.7609
2013-08-01,62.8109
2013-09-01,63.6480
2013-10-01,61.6059
2013-11-01,62.5179
2013-12-01,61.8110
2014-01-01,62.1057
2014-02-01,62.1642
2014-03-01,60.9476
2014-04-01,60.3464
2014-05-01,59.2843
2014-06-01,59.7367
2014-07-01,60.0956
2014-08-01,60.8738
2014-09-01,60.8976
2014-10-01,61.3668
2014-11-01,61.6828
2014-12-01,62.7071
2015-01-01,62.1300
2015-02-01,61.9905
2015-03-01,62.4805
2015-04-01,62.6414
2015-05-01,63.7150
2015-06-01,63.7809
2015-07-01,63.6045
2015-08-01,65.0971
2015-09-01,66.1667
2015-10-01,65.0262
2015-11-01,66.1000
2015-12-01,66.5023
2016-01-01,67.3332
2016-02-01,68.2395
2016-03-01,66.8909
2016-04-01,66.4219
2016-05-01,66.8895
2016-06-01,67.2655
2016-07-01,67.1580
2016-08-01,66.9035
2016-09-01,66.7138
2016-10-01,66.7415
2016-11-01,67.6395
2016-12-01,67.8052
2017-01-01,68.0474
2017-02-01,66.9726
2017-03-01,65.8009
2017-04-01,64.5360
2017-05-01,64.4195
2017-06-01,64.4482
2017-07-01,64.424
2017-08-01,63.9683
2017-09-01,64.4775
2017-10-01,65.0357
2017-11-01,64.8435
2017-12-01,64.2445
2018-01-01,63.6452
2018-02-01,64.4300
2018-03-01,65.0455
2018-04-01,65.6729
2018-05-01,67.5100
2018-06-01,67.7900
2018-07-01,68.6867
2018-08-01,69.6317
2018-09-01,72.2779
2018-10-01,73.5609
2018-11-01,71.7380
2018-12-01,70.8331
2019-01-01,70.5975
